male,white,something else
male,white,bisexual
male,white,gay
male,white,straight
female,white,straight
male,white,straight
female,white,something else
male,white,straight
female,white,something else
male,white,something else
male,white,something else
female,white,gay
female,white,gay
male,white,bisexual
male,white,gay
female,black,something else
male,white,bisexual
female,black,something else
female,black,gay
female,white,straight
female,black,bisexual
male,white,something else
female,indian,straight
male,white,something else
male,white,something else
female,black,something else
male,white,something else
male,white,something else
male,white,something else
female,white,something else
female,white,something else
female,white,straight
female,white,gay
male,white,something else
female,white,bisexual
female,white,something else
male,white,something else
male,white,something else
male,white,something else
female,white,something else
male,white,bisexual
male,white,gay
male,white,bisexual
male,white,bisexual
female,white,something else
female,white,something else
male,white,something else
female,white,straight
female,white,something else
female,white,something else
male,white,gay
male,white,gay
male,black,something else
female,white,something else
female,white,something else
female,white,straight
male,white,bisexual
female,white,bisexual
female,white,something else
female,white,something else
female,white,gay
male,black,something else
female,white,gay
female,white,something else
male,white,bisexual
female,white,bisexual
male,white,gay
female,black,something else
male,white,bisexual
female,white,something else
female,white,bisexual
male,white,bisexual
female,white,something else
female,white,something else
female,white,gay
female,white,gay
female,white,bisexual
female,white,gay
female,white,gay
female,white,something else
male,black,something else
female,white,bisexual
female,white,something else
female,white,something else
female,white,bisexual
female,white,gay
female,white,something else
male,white,something else
female,black,bisexual
male,white,something else
male,white,bisexual
female,white,gay
female,indian,something else
female,white,bisexual
male,white,bisexual
male,white,bisexual
male,white,something else
female,white,bisexual
female,black,gay
male,white,straight
male,white,something else
female,white,gay
female,white,something else
male,white,something else
female,black,something else
male,black,something else
male,white,gay
male,white,bisexual
female,white,something else
male,white,bisexual
female,white,something else
male,white,bisexual
female,white,gay
female,white,bisexual
male,white,gay
female,white,gay
male,white,gay
male,white,gay
male,white,gay
female,white,something else
male,black,gay
male,white,something else
male,white,something else
male,white,straight
male,white,gay
female,white,gay
female,white,straight
female,white,something else
female,white,something else
male,white,something else
female,black,straight
male,white,bisexual
female,white,something else
female,white,something else
male,white,straight
female,white,something else
female,black,gay
male,black,gay
male,white,something else
female,white,something else
male,white,bisexual
male,white,gay
female,white,bisexual
male,white,bisexual
male,white,something else
female,white,something else
